82,null,CANADIAN FOODGRAINS BANK,2015-01-27,"['Agriculture', 'Environment', 'International Development', 'Climate']","['Agriculture', 'Environment', 'International Development', 'Climate']",['House of Commons']
82,null,CANADIAN FOODGRAINS BANK,2015-01-27,"['Agriculture', 'Environment', 'International Development', 'Climate']","['Agriculture', 'Environment', 'International Development', 'Climate']",['Senate of Canada']
564,Conseil patronal de L'environnement du Québec (CPEQ),Quebec Business Council on the Environnement,2015-01-23,"['Environment', 'Climate', 'Taxation and Finance']","['Environment', 'Climate', 'Taxation and Finance']","['Canada Economic Development for Quebec Regions', 'Canada Economic Development for Quebec Regions']"
5215,Suncor Énergie Inc.,Suncor Energy Inc.,2015-01-27,['Climate'],['Climate'],['Environment Canada']
12699,L'association minière du Canada (AMC),The Mining Association of Canada (MAC),2015-01-19,"['Environment', 'Mining']","['Environment', 'Mining']",['Environment Canada']
287985,null,Acadia Center,2015-01-26,"['Economic Development', 'Energy', 'Environment', 'Climate']","['Economic Development', 'Energy', 'Environment', 'Climate']","['House of Commons', 'House of Commons']"
287985,null,Acadia Center,2015-01-26,"['Economic Development', 'Energy', 'Environment', 'Climate']","['Economic Development', 'Energy', 'Environment', 'Climate']",['Senate of Canada']
287985,null,Acadia Center,2015-01-28,"['Economic Development', 'Energy', 'Environment', 'Climate']","['Economic Development', 'Energy', 'Environment', 'Climate']",['House of Commons']
5997,Groupe Co-operators limitée,The Co-operators Group Ltd.,2015-01-21,['Climate'],['Climate'],"['Public Safety Canada (PS)', 'Public Safety Canada (PS)']"
5997,Groupe Co-operators limitée,The Co-operators Group Ltd.,2015-02-10,['Climate'],['Climate'],['Public Safety Canada (PS)']
5997,Groupe Co-operators limitée,The Co-operators Group Ltd.,2015-02-24,['Climate'],['Climate'],"['Public Safety Canada (PS)', 'Public Safety Canada (PS)', 'Public Safety Canada (PS)']"
61,null,GREENPEACE CANADA,2015-03-06,['Climate'],['Climate'],['House of Commons']
15673,Association canadienne des carburants,Canadian Fuels Association,2015-03-09,"['Energy', 'Environment', 'Climate']","['Energy', 'Environment', 'Climate']","[""Prime Minister's Office (PMO)""]"
285465,L’Association canadienne des carburants renouvelables,Canadian Renewable Fuels Association,2015-04-28,"['Agriculture', 'Environment', 'Energy', 'Science and Technology', 'Climate', 'Industry', 'Transportation']","['Agriculture', 'Environment', 'Energy', 'Science and Technology', 'Climate', 'Industry', 'Transportation']","['House of Commons', 'House of Commons', 'House of Commons', 'House of Commons']"
514,Conseil canadien des chefs d'entreprise,Canadian Council of Chief Executives,2015-04-16,"['Energy', 'Environment', 'Industry', 'International Relations', 'Climate', 'International Development']","['Energy', 'Environment', 'Industry', 'International Relations', 'Climate', 'International Development']",['Environment Canada']
279744,Reseau Action Climat Canada,Climate Action Network Canada,2015-05-01,['Environment'],['Environment'],"['Environment Canada', 'Environment Canada', 'Environment Canada']"
13913,Association Canadienne du Ciment,CEMENT ASSOCIATION OF CANADA,2015-05-06,"['Environment', 'Government Procurement', 'Infrastructure', 'Transportation', 'Climate']","['Environment', 'Government Procurement', 'Infrastructure', 'Transportation', 'Climate']",['Infrastructure Canada']
563,Fertilisants Canada,Fertilizer Canada,2015-05-26,['Environment'],['Environment'],['Environment Canada']
16568,null,INSURANCE BUREAU OF CANADA/BUREAU D'ASSURANCE DU CANADA,2015-05-15,"['Consumer Issues', 'Financial Institutions', 'Infrastructure', 'Climate']","['Consumer Issues', 'Financial Institutions', 'Infrastructure', 'Climate']",['Public Safety Canada (PS)']
15673,Association canadienne des carburants,Canadian Fuels Association,2015-05-07,"['Energy', 'Environment', 'Climate']","['Energy', 'Environment', 'Climate']","['House of Commons', 'House of Commons']"
15673,Association canadienne des carburants,Canadian Fuels Association,2015-05-25,"['Energy', 'Environment', 'Climate']","['Energy', 'Environment', 'Climate']",['Environment Canada']
514,Conseil canadien des chefs d'entreprise,Canadian Council of Chief Executives,2015-05-26,"['Energy', 'Environment', 'Industry', 'International Relations', 'Climate', 'International Development']","['Energy', 'Environment', 'Industry', 'International Relations', 'Climate', 'International Development']",['Environment Canada']
5215,Suncor Énergie Inc.,Suncor Energy Inc.,2015-05-07,"['Environment', 'International Trade', 'Climate']","['Environment', 'International Trade', 'Climate']","['House of Commons', 'House of Commons']"
5215,Suncor Énergie Inc.,Suncor Energy Inc.,2015-05-07,"['Environment', 'International Trade', 'Climate']","['Environment', 'International Trade', 'Climate']",['House of Commons']
15791,Alliance des manufacturiers et des exportateurs du Canada (MEC),Alliance of Manufacturers & Exporters Canada (CME),2015-04-01,['Climate'],['Climate'],"[""Prime Minister's Office (PMO)"", ""Prime Minister's Office (PMO)""]"
4669,null,PEMBINA INSTITUTE,2015-05-01,['Climate'],['Climate'],['Environment Canada']
16568,null,INSURANCE BUREAU OF CANADA/BUREAU D'ASSURANCE DU CANADA,2015-05-08,"['Consumer Issues', 'Environment', 'Financial Institutions', 'Infrastructure', 'Climate']","['Consumer Issues', 'Environment', 'Financial Institutions', 'Infrastructure', 'Climate']","[""Prime Minister's Office (PMO)""]"
285465,L’Association canadienne des carburants renouvelables,Canadian Renewable Fuels Association,2015-06-03,"['Agriculture', 'Environment', 'Climate', 'Industry']","['Agriculture', 'Environment', 'Climate', 'Industry']",['House of Commons']
4710,null,Sherritt International Corporation,2015-06-12,"['International Relations', 'International Trade', 'Mining', 'Taxation and Finance', 'Climate']","['International Relations', 'International Trade', 'Mining', 'Taxation and Finance', 'Climate']","['Finance Canada (FIN)', 'Finance Canada (FIN)']"
4940,null,Agrium Inc.,2015-05-15,"['Agriculture', 'Climate']","['Agriculture', 'Climate']","['Environment Canada', 'Environment Canada', 'Environment Canada']"
15791,Alliance des manufacturiers et des exportateurs du Canada (MEC),Alliance of Manufacturers & Exporters Canada (CME),2015-05-13,['Climate'],['Climate'],"[""Prime Minister's Office (PMO)"", ""Prime Minister's Office (PMO)"", ""Prime Minister's Office (PMO)""]"
15673,Association canadienne des carburants,Canadian Fuels Association,2015-06-04,"['Energy', 'Environment', 'Climate']","['Energy', 'Environment', 'Climate']",['Natural Resources Canada (NRCan)']
4669,null,PEMBINA INSTITUTE,2015-07-31,"['Energy', 'Environment', 'Climate']","['Energy', 'Environment', 'Climate']",['House of Commons']
514,Conseil canadien des chefs d'entreprise,Canadian Council of Chief Executives,2015-07-02,"['Education', 'Employment and Training', 'Energy', 'Environment', 'Industry', 'International Relations', 'International Trade', 'Labour', 'Small Business', 'Taxation and Finance', 'Aboriginal Affairs', 'Budget', 'Climate', 'Economic Development', 'Pensions', 'Research and Development', 'Security']","['Education', 'Employment and Training', 'Energy', 'Environment', 'Industry', 'International Relations', 'International Trade', 'Labour', 'Small Business', 'Taxation and Finance', 'Aboriginal Affairs', 'Budget', 'Climate', 'Economic Development', 'Pensions', 'Research and Development', 'Security']","['House of Commons', 'House of Commons']"
16568,null,INSURANCE BUREAU OF CANADA/BUREAU D'ASSURANCE DU CANADA,2015-07-09,"['Environment', 'Infrastructure', 'Climate']","['Environment', 'Infrastructure', 'Climate']","[""Prime Minister's Office (PMO)""]"
16568,null,INSURANCE BUREAU OF CANADA/BUREAU D'ASSURANCE DU CANADA,2015-07-09,"['Environment', 'Infrastructure', 'Climate']","['Environment', 'Infrastructure', 'Climate']",['Public Safety Canada (PS)']
16568,null,INSURANCE BUREAU OF CANADA/BUREAU D'ASSURANCE DU CANADA,2015-07-09,"['Environment', 'Infrastructure', 'Climate']","['Environment', 'Infrastructure', 'Climate']",['Privy Council Office (PCO)']
16568,null,INSURANCE BUREAU OF CANADA/BUREAU D'ASSURANCE DU CANADA,2015-07-09,"['Environment', 'Infrastructure', 'Climate']","['Environment', 'Infrastructure', 'Climate']",['Privy Council Office (PCO)']
16568,null,INSURANCE BUREAU OF CANADA/BUREAU D'ASSURANCE DU CANADA,2015-07-09,"['Environment', 'Infrastructure', 'Climate']","['Environment', 'Infrastructure', 'Climate']",['Public Safety Canada (PS)']
16568,null,INSURANCE BUREAU OF CANADA/BUREAU D'ASSURANCE DU CANADA,2015-08-06,"['Environment', 'Infrastructure', 'Climate']","['Environment', 'Infrastructure', 'Climate']",['Public Safety Canada (PS)']
226641,Association Canadienne des Producteurs Pétroliers,Canadian Association of Petroleum Producers,2015-09-02,['Climate'],['Climate'],['Environment Canada']
